SourceID,ProductID,AvgRating,ReviewCount,SatisfiedCount,CurrentPrice
S01,P0134,0.0,0,15475,11990000
S01,P0135,0.0,1,28654,28790000
S01,P0136,0.0,0,5215,30230000
S01,P0137,0.0,0,1682,27990000
S01,P0138,0.0,0,16318,59900000
S01,P0139,0.0,0,17262,10290000
S01,P0140,0.0,0,8274,39990000
S01,P0141,0.0,0,10875,65890000
S01,P0142,0.0,0,12574,17990000
S01,P0143,0.0,1,23521,24990000
S01,P0144,0.0,0,1346,67306000
S01,P0145,0.0,0,4743,34990000
S01,P0146,0.0,0,27911,32490000
S01,P0147,0.0,0,199,18590000
S01,P0148,0.0,0,8508,39990000
S01,P0149,0.0,0,5120,26790000
S01,P0150,0.0,0,493,32990000
S01,P0151,0.0,0,314,34999000
S01,P0152,0.0,0,1016,80999000
S01,P0153,0.0,1,34423,37990000
S01,P0154,0.0,0,7865,12390000
S01,P0155,0.0,0,12984,24999000
S01,P0156,0.0,0,18102,28390000
S01,P0157,0.0,0,3942,28990000
S01,P0158,0.0,0,6918,19590000
S01,P0159,0.0,0,11834,21590000
S01,P0160,0.0,0,624,36990000
S01,P0161,0.0,0,17364,14990000
S01,P0162,0.0,0,61,53990000
S01,P0163,0.0,0,8188,17990000
S01,P0164,0.0,0,16907,20690000
S01,P0165,0.0,0,3484,27490000
S01,P0166,0.0,0,2113,32999000
S01,P0167,0.0,0,18265,18790000
S01,P0168,0.0,0,157,34490000
S01,P0169,0.0,0,6715,39990000
S01,P0170,0.0,0,3576,23990000
S01,P0171,0.0,0,11479,23990000
S01,P0172,0.0,0,1781,44990000
S01,P0173,0.0,0,1462,39582000
S01,P0174,0.0,0,27707,30990000
S01,P0175,0.0,0,9649,19190000
S01,P0176,0.0,0,1058,22790000
S01,P0177,0.0,0,6163,28790000
S01,P0178,0.0,0,429,24890000
S01,P0179,0.0,0,1821,24990000
S01,P0180,0.0,0,5337,46990000
S01,P0181,0.0,0,23276,13690000
S01,P0182,0.0,4,15272,12690000
S01,P0183,0.0,0,237,34999000
S01,P0184,0.0,0,1398,61975000
S01,P0185,0.0,0,4665,32390000
S01,P0186,0.0,0,20319,16990000
S01,P0187,0.0,0,7440,17990000
S01,P0188,0.0,0,24302,29990000
S01,P0189,0.0,0,4468,39190000
S01,P0190,0.0,0,8033,34990000
S01,P0191,0.0,0,1501,54311000
S01,P0192,0.0,0,3118,16790000
S01,P0193,0.0,0,2198,20899000
S01,P0194,0.0,0,12172,18390000
S01,P0195,0.0,0,2156,25990000
S01,P0196,0.0,0,13497,31290000
S01,P0197,0.0,0,8386,30230000
S01,P0198,0.0,0,2399,42790000
S01,P0199,0.0,0,4188,51990000
S01,P0200,0.0,0,9040,14990000
S01,P0201,0.0,0,6983,24990000
S01,P0202,0.0,0,7692,57230000
S01,P0203,0.0,0,2269,55990000
S01,P0204,0.0,0,3574,33890000
S01,P0205,0.0,0,6919,23990000
S01,P0206,0.0,0,4932,18990000
S01,P0207,0.0,0,20627,27990000
S01,P0208,0.0,2,56415,26490000
S01,P0209,0.0,0,2456,23590000
S01,P0210,0.0,0,1101,23750000
S01,P0211,0.0,0,9637,14490000
S01,P0212,0.0,0,19870,27590000
S01,P0213,0.0,0,15061,21500000
S01,P0214,0.0,0,10001,43730000
S01,P0215,0.0,0,4119,53590000
S01,P0216,0.0,0,5305,14290000
S01,P0217,0.0,0,6368,48990000
S01,P0218,0.0,0,11920,20990000
S01,P0219,0.0,0,459,24990000
S01,P0220,0.0,2,11159,18990000
