ProductID,ProductName,Brand,Category,CPUBrand,CPUFamily,GPUType,GPUModel,RamCapacity,RamType,StorageCapacity,StorageType,DisplaySize,DisplayResolution,DisplayRefreshRate,OSFamily,DesignWeight,IsAiLaptop,IsAvailable
P0271,Laptop Lenovo ThinkPad E14 Gen 6 21M7004YVN (Intel Core Ultra 7 155H | 16GB | 512GB | 14 inch WUXGA | Win 11 | Đen),Lenovo,Office,Intel,Intel Core Ultra,Integrated,Intel Arc / Integrated,16.0,DDR5 / LPDDR5,512.0,SSD,"13"" - 14.5""",FHD / FHD+,60 - 90,Windows,1.44,True,True
P0272,Laptop Lenovo ThinkPad P16s Gen3 T 21KS0037VA (Intel Core Ultra 7 155H | RTX 500 Ada | 16 inch WUXGA | 64 GB | 1TB | No OS | Đen),Lenovo,Office,Intel,Intel Core Ultra,Dedicated,Intel Arc / Integrated,64.0,DDR5 / LPDDR5,1024.0,SSD,"15.6"" - 16.0""",FHD / FHD+,60 - 90,Windows,1.82,True,True
P0273,Laptop HP OmniBook X 14-fe1010QU B53KBPA (Snapdragon X Plus X1P-42-100 | 16GB | 512GB | 14 inch 2.2 K | Cảm ứng | Win 11 | Bạc),HP,Office,Qualcomm,Snapdragon (ARM),Integrated,Intel Arc / Integrated,16.0,DDR5 / LPDDR5,512.0,SSD,"13"" - 14.5""",2K - 3K,120 - 165,Windows,,True,True
P0274,Laptop Acer Gaming Nitro ProPanel ANV15-41-R7CR NH.QPESV.003 (AMD Ryzen 5 7535HS | RTX 4050 6GB GDDR6 VRAM | 15.6 inch FHD | 16GB | 512GB | Windows 11 Home SL | Đen),Acer,Gaming,AMD,AMD Ryzen,Dedicated,Nvidia RTX/GTX,16.0,DDR5 / LPDDR5,512.0,SSD,"15.6"" - 16.0""",FHD / FHD+,240+,Windows,2.1,False,True
P0275,Laptop  Lenovo Legion Pro 7 16IAX10H 83F5008WVN (Intel Core Ultra 9 275HX | RTX 5080 16GB | 16 inch WQXGA OLED 240Hz | 32GB | 1 TB | Win 11 | Đen),Lenovo,Gaming,Intel,Intel Core Ultra,Dedicated,Nvidia RTX/GTX,32.0,DDR5 / LPDDR5,1024.0,SSD,"15.6"" - 16.0""",2K - 3K,240+,Windows,2.57,True,True
P0276,Laptop Acer Swift 3 SF314-512-56QN NX.K0FSV.002 (Core i5-1240P | 16GB | 512GB | Intel Iris Xe | 14 inch QHD IPS | Win 11 | Bạc),Acer,Office,Intel,Intel Core,Integrated,Intel Arc / Integrated,16.0,DDR4 / LPDDR4,512.0,SSD,"13"" - 14.5""",2K - 3K,60 - 90,Windows,1.2,False,True
P0277,Laptop Lenovo Yoga Slim 7 14IMH9 83CV00D8VN (Intel Core Ultra 5 125H | Intel Arc Graphics | 14 inch WUXGA | 16GB | 1TB | Windows 11 Home SL | Office | Xám),Lenovo,Office,Intel,Intel Core Ultra,Integrated,Intel Arc / Integrated,16.0,DDR5 / LPDDR5,1024.0,SSD,"13"" - 14.5""",FHD / FHD+,60 - 90,Windows,1.39,True,True
P0278,Laptop Acer Predator  Helios 18 AI PH18-73-93P0 (Intel Core Ultra 9 275HX | RTX 5080 16GB | 18 inch 2K+ 250Hz IPS | 64GB | 3TB | Win 11 Pro | Đen),Acer,Gaming,Intel,Intel Core Ultra,Dedicated,Nvidia RTX/GTX,64.0,DDR5 / LPDDR5,,SSD,"17.3"" - 18.0""",2K - 3K,240+,Windows,3.5,True,True
P0279,Laptop ASUS ROG Flow Z13 GZ302 GZ302EA-RU145WS (AMD Ryzen AI MAX+ 395 | 128GB | 1TB | 13.4 inch WQXGA | AMD Radeon Graphics | Windows 11 Home + Office | Đen),Asus,Gaming,AMD,AMD Ryzen AI,Integrated,AMD Radeon,,DDR5 / LPDDR5,1024.0,SSD,"13"" - 14.5""",2K - 3K,240+,Windows,1.2,True,True
P0280,Laptop Acer Swift Go SFG14-71-74CP NX.KPZSV.004 (Core i7-13700H | 16GB | 512GB | Intel Iris Xe | 14 inch OLED 2.8k | Win 11 | Sunshiny Gold),Acer,Office,Intel,Intel Core,Integrated,Intel Arc / Integrated,16.0,DDR5 / LPDDR5,512.0,SSD,"13"" - 14.5""",2K - 3K,60 - 90,Windows,1.2,False,True
